Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
203579177,The Last One at the Wedding,Jason Rekulak,"Rekulak, Jason",,"=""1250895782""","=""9781250895783""",0,3.62,Flatiron Books,Hardcover,338,2024,2024,,2025/07/27,,,read,,,,1,0
197792760,Hemlock,Kiersten Modglin,"Modglin, Kiersten",,"=""""","=""""",0,4.18,Kiersten Modglin,Kindle Edition,404,2023,2023,,2025/07/27,,,read,,,,1,0
18764826,The House We Grew Up In,Lisa Jewell,"Jewell, Lisa",,"=""1476702993""","=""9781476702995""",0,3.78,Atria Books,Hardcover,388,2014,2013,,2025/07/27,,,read,,,,1,0
179735,The Girl Next Door,Jack Ketchum,"Ketchum, Jack",,"=""0843955430""","=""9780843955439""",0,3.92,Leisure Books,Paperback,370,2005,1989,,2025/07/27,,,read,,,,1,0
202173601,The Orphanage by the Lake,Daniel G.  Miller,"Miller, Daniel G.",,"=""1737646366""","=""9781737646365""",0,3.92,Houndstooth Books,Kindle Edition,300,2024,2024,,2025/07/27,,,read,,,,1,0
60164470,The Overnight Guest,Heather Gudenkauf,"Gudenkauf, Heather",,"=""0778311937""","=""9780778311935""",0,4.03,Park Row,Paperback,316,2022,2022,,2025/07/27,,,read,,,,1,0
176451879,"Kill for Me, Kill for You",Steve Cavanagh,"Cavanagh, Steve",,"=""1668049341""","=""9781668049341""",0,4.15,Atria Books,Hardcover,340,2024,2023,,2025/07/27,,,read,,,,1,0
58892736,The Stranger Inside,Lisa Unger,"Unger, Lisa",,"=""0778333191""","=""9780778333197""",0,3.77,Park Row,Mass Market Paperback,432,2022,2019,,2025/07/27,,,read,,,,1,0
23014603,Those Girls,Chevy Stevens,"Stevens, Chevy",,"=""1250034582""","=""9781250034588""",0,4.01,St. Martin's Press,Hardcover,384,2015,2015,,2025/07/27,,,read,,,,1,0
55882116,Still Beating,Jennifer Hartmann,"Hartmann, Jennifer",,"=""""","=""""",0,4.21,,ebook,314,2020,2020,,2025/07/27,,,read,,,,1,0
58203099,And There He Kept Her (Ben Packard #1),Joshua Moehling,"Moehling, Joshua",,"=""1728247896""","=""9781728247892""",0,3.74,Poisoned Pen Press,Hardcover,312,2022,2022,,2025/07/27,,,read,,,,1,0
209823376,No Place Left to Hide,Megan Lally,"Lally, Megan",,"=""1728270146""","=""9781728270142""",0,3.57,Sourcebooks Fire,Paperback,259,2025,2025,,2025/07/27,,,read,,,,1,0
199026522,Middle of the Night,Riley Sager,"Sager, Riley",,"=""0593472373""","=""9780593472378""",0,3.68,Dutton,Hardcover,376,2024,2024,,2025/07/27,,,read,,,,1,0
216223604,The Crash,Freida McFadden,"McFadden, Freida",,"=""1464232989""","=""9781464232985""",0,3.71,Poisoned Pen Press,Hardcover,384,2025,2025,,2025/07/27,,,read,,,,1,0
231249727,Such Quiet Girls,Noelle W. Ihli,"Ihli, Noelle W.",,"=""""","=""9798987845592""",0,3.92,Dynamite Books,Paperback,352,2025,2025,,2025/07/27,,,read,,,,1,0
61381555,Run on Red,Noelle W. Ihli,"Ihli, Noelle W.",,"=""""","=""""",0,3.73,"Dynamite Books, LLC",Kindle Edition,291,2022,2022,,2025/07/27,,,read,,,,1,0
141236527,The Stranger in Her House,John Marrs,"Marrs, John",,"=""1662506473""","=""9781662506475""",0,3.94,Thomas & Mercer,Kindle Edition,347,2024,2024,,2025/07/27,,,read,,,,1,0
53142315,What Lies Between Us,John Marrs,"Marrs, John",,"=""1542017025""","=""9781542017022""",0,4.02,Thomas & Mercer,Paperback,363,2020,2020,,2025/07/27,,,read,,,,1,0
40670312,The One,John Marrs,"Marrs, John",,"=""""","=""""",0,4.10,Hanover Square Press,ebook,418,2018,2016,,2025/07/27,,,read,,,,1,0
211004123,Beautiful Ugly,Alice Feeney,"Feeney, Alice",,"=""125033778X""","=""9781250337788""",0,3.62,Flatiron Books,Hardcover,306,2025,2025,,2025/07/27,,,read,,,,1,0
221733722,The Tenant,Freida McFadden,"McFadden, Freida",,"=""1464227314""","=""9781464227318""",0,3.85,Poisoned Pen Press,Paperback,368,2025,2025,,2025/07/27,,,read,,,,1,0
60588456,The Maid's Diary,Loreth Anne White,"White, Loreth Anne",,"=""""","=""""",0,4.22,Montlake,Kindle Edition,367,2023,2023,,2025/07/27,,,read,,,,1,0
58977601,On a Quiet Street,Seraphina Nova Glass,"Glass, Seraphina Nova",,"=""0369717058""","=""9780369717054""",0,4.13,Graydon House,Kindle Edition,302,2022,2022,,2024/09/08,,,read,,,,1,0
58724802,Things We Do in the Dark,Jennifer Hillier,"Hillier, Jennifer",,"=""1250763169""","=""9781250763167""",0,3.94,Minotaur Books,Hardcover,352,2022,2022,,2024/08/31,,,read,,,,1,0
204787816,Gray After Dark,Noelle W. Ihli,"Ihli, Noelle W.",,"=""""","=""""",0,4.20,Dynamite Books,Kindle Edition,370,2024,2024,,2024/08/11,,,read,,,,1,0
55905003,Greenwich Park,Katherine Faulkner,"Faulkner, Katherine",,"=""1982150319""","=""9781982150310""",0,3.84,Gallery Books,Hardcover,384,2022,2021,2024/07/18,2024/07/11,,,read,,,,1,0
44066986,"Bitter Falls (Stillhouse Lake, #4)",Rachel Caine,"Caine, Rachel",,"=""1542042348""","=""9781542042345""",0,4.28,Thomas & Mercer,Kindle Edition,332,2020,2020,,2024/07/11,,,read,,,,1,0
36565384,"Wolfhunter River (Stillhouse Lake, #3)",Rachel Caine,"Caine, Rachel",,"=""1503957314""","=""9781503957312""",0,4.12,Thomas & Mercer,Kindle Edition,330,2019,2019,,2024/07/11,,,read,,,,1,0
35329101,"Killman Creek (Stillhouse Lake, #2)",Rachel Caine,"Caine, Rachel",,"=""1542096413""","=""9781542096416""",0,4.24,Thomas & Mercer,Kindle Edition,349,2017,2017,,2024/07/11,,,read,,,,1,0
33128934,"Stillhouse Lake (Stillhouse Lake, #1)",Rachel Caine,"Caine, Rachel",,"=""1477821554""","=""9781477821558""",0,4.11,Thomas & Mercer,Kindle Edition,301,2017,2017,,2024/07/11,,,read,,,,1,0
37759102,"What I've Done (Morgan Dane, #4)",Melinda Leigh,"Leigh, Melinda",,"=""1503903052""","=""9781503903050""",0,4.44,Montlake Romance,Paperback,329,2018,2018,,2024/07/11,,,read,,,,1,0
